index,register,value,purpose
0,0x98,0x03,ADI fixed/recommended configuration
1,0x9A,0xE0,ADI fixed/recommended configuration
2,0x9C,0x30,ADI fixed/recommended configuration
3,0x9D,0x61,ADI fixed/recommended configuration
4,0xA2,0xA4,ADI fixed/recommended configuration
5,0xA3,0xA4,ADI fixed/recommended configuration
6,0xD0,0x03,Timing/sync configuration
7,0xD1,0xFF,Timing/sync configuration
8,0xD2,0xFF,Timing/sync configuration
9,0xD6,0xC0,HPD control
10,0xDE,0x55,TMDS clock inversion
11,0x41,0x10,Power up and interrupt polarity
12,0x4A,0x40,InfoFrame update control
13,0x52,0x02,AVI InfoFrame version
14,0x53,0x0D,AVI InfoFrame length
15,0x54,0xAB,AVI InfoFrame checksum
16,0x55,0x29,AVI PB1 YCbCr 4:2:2 indication
17,0x56,0x99,AVI PB2
18,0x57,0x01,AVI PB3/VIC 640x480p60
19,0x58,0x01,AVI PB4
20,0x59,0x00,AVI payload
21,0x5A,0x00,AVI payload
22,0x5B,0x00,AVI payload
23,0x5C,0x00,AVI payload
24,0x5D,0x00,AVI payload
25,0x5E,0x00,AVI payload
26,0x4A,0x00,Finish InfoFrame update
27,0x44,0x10,HDMI packet control
28,0x48,0x08,Right-justified 16-bit input mapping
29,0xE0,0xD0,ADI fixed/recommended configuration
30,0x15,0x01,YCbCr 4:2:2 1x clock separate sync
31,0x16,0xBD,8-bit YCbCr 4:2:2 Style 3
32,0x18,0x46,CSC/recommended configuration
33,0xAF,0x12,HDMI mode
