"FullName","Bytes"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_165549_b92f74","38602464"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_165718_5e2d15","8086272180"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_170008_760643","46700945"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_170040_95e111","38602465"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_toolkit_run01","148325586"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_173836_5d93b4","38627555"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_174532_932baf","8086678465"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_175423_0bb6c6","8086303008"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_175742_16fccb","38627670"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_180104_171c99","46726152"
"E:\competition\4_metrics\logs\2026-09-10_sd_builder_v02_run01","112364455"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_rebuild_run01","52681589"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_rebuild_run02","52691596"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_180323_ae3892","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_182505_9ec0b9","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_184116_9596c2","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_184459_86ee5a","6612"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_184511_973af8","6612"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_184524_974203","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_184534_9d468e","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_190044_2572e9","9206940"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_190133_c2bf05","9206940"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_191348_126b2e","94073948"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_200714_165bbe","8089426557"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_220112_23b6be","98552885"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_220217_3f0ee9","15819903275"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_220613_158787","9207299"
"E:\competition\4_metrics\logs\2026-09-11_sd_builder_v02_220750_0915e0","15819544354"
