name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.0.conv,"[1, 3, 640, 640]","[1, 16, 320, 320]","[3, 3]","[2, 2]","[1, 1]",1,16,102400,27,44236800,432,0,1228800,1638400,2764800,False
model.1.conv,"[1, 16, 320, 320]","[1, 32, 160, 160]","[3, 3]","[2, 2]","[1, 1]",1,32,25600,144,117964800,4608,0,1638400,819200,3686400,False
model.2.cv1.conv,"[1, 32, 160, 160]","[1, 32, 160, 160]","[1, 1]","[1, 1]","[0, 0]",1,32,25600,32,26214400,1024,0,819200,819200,819200,False
model.2.m.0.cv1.conv,"[1, 16, 160, 160]","[1, 16, 160, 160]","[3, 3]","[1, 1]","[1, 1]",1,16,25600,144,58982400,2304,0,409600,409600,3686400,False
model.2.m.0.cv2.conv,"[1, 16, 160, 160]","[1, 16, 160, 160]","[3, 3]","[1, 1]","[1, 1]",1,16,25600,144,58982400,2304,0,409600,409600,3686400,False
model.2.cv2.conv,"[1, 48, 160, 160]","[1, 32, 160, 160]","[1, 1]","[1, 1]","[0, 0]",1,32,25600,48,39321600,1536,0,1228800,819200,1228800,False
model.3.conv,"[1, 32, 160, 160]","[1, 64, 80, 80]","[3, 3]","[2, 2]","[1, 1]",1,64,6400,288,117964800,18432,0,819200,409600,1843200,False
model.4.cv1.conv,"[1, 64, 80, 80]","[1, 64, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,64,6400,64,26214400,4096,0,409600,409600,409600,False
model.4.m.0.cv1.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.4.m.0.cv2.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.4.m.1.cv1.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.4.m.1.cv2.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.4.cv2.conv,"[1, 128, 80, 80]","[1, 64, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,64,6400,128,52428800,8192,0,819200,409600,819200,False
model.5.conv,"[1, 64, 80, 80]","[1, 128, 40, 40]","[3, 3]","[2, 2]","[1, 1]",1,128,1600,576,117964800,73728,0,409600,204800,921600,False
model.6.cv1.conv,"[1, 128, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,128,26214400,16384,0,204800,204800,204800,False
model.6.m.0.cv1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.6.m.0.cv2.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.6.m.1.cv1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.6.m.1.cv2.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.6.cv2.conv,"[1, 256, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,256,52428800,32768,0,409600,204800,409600,False
model.7.conv,"[1, 128, 40, 40]","[1, 256, 20, 20]","[3, 3]","[2, 2]","[1, 1]",1,256,400,1152,117964800,294912,0,204800,102400,460800,False
model.8.cv1.conv,"[1, 256, 20, 20]","[1, 256, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,256,400,256,26214400,65536,0,102400,102400,102400,False
model.8.m.0.cv1.conv,"[1, 128, 20, 20]","[1, 128, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,128,400,1152,58982400,147456,0,51200,51200,460800,False
model.8.m.0.cv2.conv,"[1, 128, 20, 20]","[1, 128, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,128,400,1152,58982400,147456,0,51200,51200,460800,False
model.8.cv2.conv,"[1, 384, 20, 20]","[1, 256, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,256,400,384,39321600,98304,0,153600,102400,153600,False
model.9.cv1.conv,"[1, 256, 20, 20]","[1, 128, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,128,400,256,13107200,32768,0,102400,51200,102400,False
model.9.cv2.conv,"[1, 512, 20, 20]","[1, 256, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,256,400,512,52428800,131072,0,204800,102400,204800,False
model.12.cv1.conv,"[1, 384, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,384,78643200,49152,0,614400,204800,614400,False
model.12.m.0.cv1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.12.m.0.cv2.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.12.cv2.conv,"[1, 192, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,192,39321600,24576,0,307200,204800,307200,False
model.15.cv1.conv,"[1, 192, 80, 80]","[1, 64, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,64,6400,192,78643200,12288,0,1228800,409600,1228800,False
model.15.m.0.cv1.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.15.m.0.cv2.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,32,6400,288,58982400,9216,0,204800,204800,1843200,False
model.15.cv2.conv,"[1, 96, 80, 80]","[1, 64, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,64,6400,96,39321600,6144,0,614400,409600,614400,False
model.16.conv,"[1, 64, 80, 80]","[1, 64, 40, 40]","[3, 3]","[2, 2]","[1, 1]",1,64,1600,576,58982400,36864,0,409600,102400,921600,False
model.18.cv1.conv,"[1, 192, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,192,39321600,24576,0,307200,204800,307200,False
model.18.m.0.cv1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.18.m.0.cv2.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.18.cv2.conv,"[1, 192, 40, 40]","[1, 128, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,128,1600,192,39321600,24576,0,307200,204800,307200,False
model.19.conv,"[1, 128, 40, 40]","[1, 128, 20, 20]","[3, 3]","[2, 2]","[1, 1]",1,128,400,1152,58982400,147456,0,204800,51200,460800,False
model.21.cv1.conv,"[1, 384, 20, 20]","[1, 256, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,256,400,384,39321600,98304,0,153600,102400,153600,False
model.21.m.0.cv1.conv,"[1, 128, 20, 20]","[1, 128, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,128,400,1152,58982400,147456,0,51200,51200,460800,False
model.21.m.0.cv2.conv,"[1, 128, 20, 20]","[1, 128, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,128,400,1152,58982400,147456,0,51200,51200,460800,False
model.21.cv2.conv,"[1, 384, 20, 20]","[1, 256, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,256,400,384,39321600,98304,0,153600,102400,153600,False
model.22.cv2.0.0.conv,"[1, 64, 80, 80]","[1, 64, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,64,6400,576,235929600,36864,0,409600,409600,3686400,False
model.22.cv2.0.1.conv,"[1, 64, 80, 80]","[1, 64, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,64,6400,576,235929600,36864,0,409600,409600,3686400,False
model.22.cv2.0.2,"[1, 64, 80, 80]","[1, 64, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,64,6400,64,26214400,4096,64,409600,409600,409600,False
model.22.cv2.1.0.conv,"[1, 128, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,1152,117964800,73728,0,204800,102400,1843200,False
model.22.cv2.1.1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv2.1.2,"[1, 64, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,64,6553600,4096,64,102400,102400,102400,False
model.22.cv2.2.0.conv,"[1, 256, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,2304,58982400,147456,0,102400,25600,921600,False
model.22.cv2.2.1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.22.cv2.2.2,"[1, 64, 20, 20]","[1, 64, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,64,400,64,1638400,4096,64,25600,25600,25600,False
model.22.cv3.0.0.conv,"[1, 64, 80, 80]","[1, 64, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,64,6400,576,235929600,36864,0,409600,409600,3686400,False
model.22.cv3.0.1.conv,"[1, 64, 80, 80]","[1, 64, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,64,6400,576,235929600,36864,0,409600,409600,3686400,False
model.22.cv3.0.2,"[1, 64, 80, 80]","[1, 7, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,7,6400,64,2867200,448,7,409600,44800,409600,False
model.22.cv3.1.0.conv,"[1, 128, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,1152,117964800,73728,0,204800,102400,1843200,False
model.22.cv3.1.1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,64,1600,576,58982400,36864,0,102400,102400,921600,False
model.22.cv3.1.2,"[1, 64, 40, 40]","[1, 7, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,7,1600,64,716800,448,7,102400,11200,102400,False
model.22.cv3.2.0.conv,"[1, 256, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,2304,58982400,147456,0,102400,25600,921600,False
model.22.cv3.2.1.conv,"[1, 64, 20, 20]","[1, 64, 20, 20]","[3, 3]","[1, 1]","[1, 1]",1,64,400,576,14745600,36864,0,25600,25600,230400,False
model.22.cv3.2.2,"[1, 64, 20, 20]","[1, 7, 20, 20]","[1, 1]","[1, 1]","[0, 0]",1,7,400,64,179200,448,7,25600,2800,25600,False
model.22.dfl.conv,"[1, 16, 4, 8400]","[1, 1, 4, 8400]","[1, 1]","[1, 1]","[0, 0]",1,1,33600,16,537600,16,0,537600,33600,537600,True
