size,mac_lanes,clock_mhz,compute_efficiency_assumed,ddr_MBps_assumed,conv_ideal_ms,conv_efficiency_ms,reference_traffic_MB,reference_memory_ms,perfect_overlap_reference_ms,no_overlap_reference_ms
256,64,100,0.4,100,101.10144,252.75359999999998,8.43,84.3,252.75359999999998,337.05359999999996
256,64,100,0.4,250,101.10144,252.75359999999998,8.43,33.72,252.75359999999998,286.4736
256,64,100,0.4,500,101.10144,252.75359999999998,8.43,16.86,252.75359999999998,269.61359999999996
256,64,100,0.6,100,101.10144,168.5024,8.43,84.3,168.5024,252.80239999999998
256,64,100,0.6,250,101.10144,168.5024,8.43,33.72,168.5024,202.2224
256,64,100,0.6,500,101.10144,168.5024,8.43,16.86,168.5024,185.36239999999998
256,64,100,0.8,100,101.10144,126.37679999999999,8.43,84.3,126.37679999999999,210.6768
256,64,100,0.8,250,101.10144,126.37679999999999,8.43,33.72,126.37679999999999,160.09679999999997
256,64,100,0.8,500,101.10144,126.37679999999999,8.43,16.86,126.37679999999999,143.2368
256,64,150,0.4,100,67.40096,168.50239999999997,8.43,84.3,168.50239999999997,252.80239999999998
256,64,150,0.4,250,67.40096,168.50239999999997,8.43,33.72,168.50239999999997,202.22239999999996
256,64,150,0.4,500,67.40096,168.50239999999997,8.43,16.86,168.50239999999997,185.36239999999998
256,64,150,0.6,100,67.40096,112.33493333333332,8.43,84.3,112.33493333333332,196.63493333333332
256,64,150,0.6,250,67.40096,112.33493333333332,8.43,33.72,112.33493333333332,146.05493333333334
256,64,150,0.6,500,67.40096,112.33493333333332,8.43,16.86,112.33493333333332,129.19493333333332
256,64,150,0.8,100,67.40096,84.25119999999998,8.43,84.3,84.3,168.5512
256,64,150,0.8,250,67.40096,84.25119999999998,8.43,33.72,84.25119999999998,117.97119999999998
256,64,150,0.8,500,67.40096,84.25119999999998,8.43,16.86,84.25119999999998,101.11119999999998
256,128,100,0.4,100,50.55072,126.37679999999999,8.43,84.3,126.37679999999999,210.6768
256,128,100,0.4,250,50.55072,126.37679999999999,8.43,33.72,126.37679999999999,160.09679999999997
256,128,100,0.4,500,50.55072,126.37679999999999,8.43,16.86,126.37679999999999,143.2368
256,128,100,0.6,100,50.55072,84.2512,8.43,84.3,84.3,168.55120000000002
256,128,100,0.6,250,50.55072,84.2512,8.43,33.72,84.2512,117.9712
256,128,100,0.6,500,50.55072,84.2512,8.43,16.86,84.2512,101.1112
256,128,100,0.8,100,50.55072,63.188399999999994,8.43,84.3,84.3,147.48839999999998
256,128,100,0.8,250,50.55072,63.188399999999994,8.43,33.72,63.188399999999994,96.90839999999999
256,128,100,0.8,500,50.55072,63.188399999999994,8.43,16.86,63.188399999999994,80.04839999999999
256,128,150,0.4,100,33.70048,84.25119999999998,8.43,84.3,84.3,168.5512
256,128,150,0.4,250,33.70048,84.25119999999998,8.43,33.72,84.25119999999998,117.97119999999998
256,128,150,0.4,500,33.70048,84.25119999999998,8.43,16.86,84.25119999999998,101.11119999999998
