img,node,cosine
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.0,0.997758
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.1,0.992538
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv1,0.988305
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.m.0,0.983825
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv2,0.976678
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.3,0.979474
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv1,0.966523
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.0,0.986416
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.1,0.988487
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv2,0.955942
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.5,0.948472
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv1,0.945217
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.0,0.969235
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.1,0.976444
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv2,0.951779
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.7,0.939467
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv1,0.936777
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.m.0,0.963065
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv2,0.954757
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.11,0.963532
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv1,0.971229
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.m.0,0.97003
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv2,0.966167
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.14,0.96056
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv1,0.986555
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.m.0,0.984206
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv2,0.982151
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.16,0.953044
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.17,0.959087
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv1,0.957146
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.m.0,0.957014
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv2,0.969601
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.19,0.950663
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.20,0.959386
