img,node,cosine
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.0,0.998536
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.1,0.994291
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv1,0.986511
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.m.0,0.986762
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv2,0.981144
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.3,0.984028
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv1,0.9737
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.0,0.988684
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.1,0.991049
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv2,0.971708
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.5,0.969475
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv1,0.96358
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.0,0.981723
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.1,0.985309
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv2,0.967038
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.7,0.951569
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv1,0.946335
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.m.0,0.947073
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv2,0.936371
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.11,0.969151
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv1,0.975308
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.m.0,0.969564
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv2,0.967645
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.14,0.96914
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv1,0.988985
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.m.0,0.987752
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv2,0.985006
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.16,0.961128
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.17,0.96412
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv1,0.962744
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.m.0,0.971785
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv2,0.97621
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.19,0.95628
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.20,0.962241
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv1,0.953636
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.m.0,0.968177
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv2,0.961976
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.0,0.975989
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.1,0.981624
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.2,0.992433
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.0,0.947023
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.1,0.934899
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.2,0.999306
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.0,0.968732
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.1,0.976444
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.2,0.9913
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.0,0.967697
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.1,0.966135
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.2,0.998417
